name,runs,balls,avg,strike_rate,auction_price(lakhs of INR)
AG Paunikar,49,57,9.8,85.96491,20
Yashpal Singh,47,66,11.75,71.21212,44.3365
Kuldeep Yadav,45,54,11.25,83.33333,350.025
Sunny Singh,43,31,10.75,138.7097,44.3365
SK Trivedi,42,59,5.25,71.18644,10
JDS Neesham,42,46,14,91.30435,100
A Nehra,41,59,5.125,69.49153,396.695
S Dube,40,33,10,121.2121,440
BR Dunk,40,35,13.33333,114.2857,20
AUK Pathan,39,23,7.8,169.5652,886.73
MM Patel,39,41,7.8,95.12195,135.343
SP Jackson,38,31,19,122.5806,15
JO Holder,38,31,7.6,122.5806,11.71002
Anureet Singh,37,46,9.25,80.43478,44.3365
S Narwal,37,27,9.25,137.037,10
JJ Bumrah,37,38,12.33333,97.36842,120
L Balaji,36,47,5.142857,76.59574,233.35
KW Richardson,36,39,12,92.30769,409.8507
Joginder Sharma,36,30,9,120,70.005
AN Ahmed,36,26,36,138.4615,20
SN Thakur,36,21,9,171.4286,20
S Sreesanth,34,52,11.33333,65.38462,420.03
A Mithun,34,25,6.8,136,121.342
M Santner,33,23,33,143.4783,50
D Salunkhe,33,24,33,137.5,10
Basil Thampi,32,33,16,96.9697,95
RJ Peterson,32,29,10.66667,110.3448,57.15
Mohammed Siraj,32,36,10.66667,88.88889,260
S Nadeem,32,77,2.285714,41.55844,85
M Markande,30,29,10,103.4483,20
VH Zol,29,26,14.5,111.5385,30
SB Jakati,28,29,14,96.55172,20
M Lomror,28,24,14,116.6667,20
JM Kemp,26,24,13,108.3333,45.73
NL McCullum,26,21,8.666667,123.8095,46.67
AB Dinda,26,47,2.888889,55.31915,175.0125
Sandeep Sharma,26,38,8.666667,68.42105,70.005
A Choudhary,25,20,12.5,125,30
KC Cariappa,24,21,8,114.2857,240
ER Dwivedi,24,14,12,171.4286,10
PJ Sangwan,24,39,3.428571,61.53846,150
BMAJ Mendis,23,27,7.666667,85.18519,29.27505
T Curran,23,27,7.666667,85.18519,100
NS Naik,23,31,11.5,74.19355,30
SW Tait,23,26,7.666667,88.46154,181.5375
MS Wade,22,33,7.333333,66.66667,46.67
GB Hogg,22,22,11,100,102.87
YS Chahal,22,48,5.5,45.83333,10
CA Ingram,21,26,10.5,80.76923,46.67
DE Bollinger,21,22,21,95.45455,326.69
M Muralitharan,20,29,3.333333,68.96552,513.37
K Paul,20,24,5,83.33333,50
AC Thomas,20,19,10,105.2632,46.67
Imran Tahir,20,27,5,74.07407,100
NJ Maddinson,20,21,6.666667,95.2381,50
Harpreet Singh,20,26,10,76.92308,44.3365
R Shukla,19,23,9.5,82.6087,40
DR Martyn,19,24,9.5,79.16667,45.73
R Bishnoi,19,17,6.333333,111.7647,200
P Sahu,19,13,,146.1538,10
Vishnu Vinod,19,26,6.333333,73.07692,20
JJ van der Wath,18,16,9,112.5,23.335
Harmeet Singh,18,12,9,150,44.3365
BJ Haddin,18,11,18,163.6364,151.6775
PV Tambe,18,39,18,46.15385,10
Parvez Rasool,17,20,8.5,85,95
AS Rajpoot,17,30,5.666667,56.66667,300
PP Ojha,16,44,1.6,36.36364,126.009
S Singh,16,17,16,94.11765,44.3365
SA Abbott,15,13,15,115.3846,100
RD Chahar,15,13,7.5,115.3846,80
A Joseph,15,13,,115.3846,75
SD Lad,15,13,15,115.3846,10
F Behardien,14,13,7,107.6923,30
MDKJ Perera,14,13,7,107.6923,22.865
S Badree,13,23,2.6,56.52174,30
S Mavi,13,15,4.333333,86.66667,300
KJ Abbott,13,8,13,162.5,100
D Shorey,13,17,6.5,76.47059,20
Swapnil Singh,12,20,4,60,44.3365
T Thushara,12,18,6,66.66667,67.774
TA Boult,12,14,6,85.71429,380
DAJ Bracewell,12,9,,133.3333,28.575
M Ur Rahman,12,11,6,109.0909,150
Karanveer Singh,12,17,12,70.58824,44.3365
S Kaul,12,28,4,42.85714,45
BB Sran,11,14,11,78.57143,10
T Henderson,11,16,11,68.75,314.665
J Theron,10,12,5,83.33333,39.6695
TD Paine,10,26,5,38.46154,126.009
KAJ Roach,10,9,10,111.1111,329.256
SMSM Senanayake,10,17,10,58.82353,365.938125
D du Preez,10,13,10,76.92308,56.004
Jaskaran Singh,8,11,4,72.72727,44.3365
CJ McKay,8,15,8,53.33333,51.337
J Searles,8,6,8,133.3333,30
TS Mills,8,11,2.666667,72.72727,72.615
P Chopra,8,6,8,133.3333,20
CK Langeveldt,8,9,4,88.88889,65.338
UA Birla,7,14,7,50,30
VS Malik,7,7,7,100,20
Pankaj Singh,7,12,3.5,58.33333,44.3365
AF Milne,7,12,2.333333,58.33333,70
N Naik,7,16,7,43.75,30
AN Ghosh,7,8,3.5,87.5,20
R Bhui,7,17,3.5,41.17647,10
DM Bravo,6,5,,120,93.34
SB Joshi,6,14,3,42.85714,20
J Yadav,6,10,,60,350.025
S Sharma,6,3,,200,70.005
PSP Handscomb,6,12,6,50,30
B Stanlake,5,2,,250,50
A Zampa,5,8,2.5,62.5,30
Shivam Sharma,5,3,5,166.6667,70.005
P Awana,5,14,1.666667,35.71429,65
KMDN Kulasekara,5,2,,250,46.67
B Laughlin,5,13,2.5,38.46154,11.71002
DP Nannes,4,13,4,30.76923,303.355
FH Edwards,4,5,4,80,72.615
A Dananjaya,4,5,,80,11.71002
M Ashwin,4,8,1.333333,50,396.695
H Vihari,4,8,2,50,10
Avesh Khan,4,3,,133.3333,420.03
VRV Singh,4,2,4,200,44.3365
CJ Jordan,3,5,3,60,300
S Tyagi,3,4,,75,112.008
A Turner,3,10,1,30,50
JE Taylor,3,3,,100,72.615
H Viljoen,3,5,1.5,60,75
BAW Mendis,3,6,1.5,50,29.27505
Mohammad Asif,3,6,1.5,50,40
Kamran Khan,3,5,3,60,420.03
Younis Khan,3,7,3,42.85714,420.03
Mohammad Ashraful,2,10,2,20,36.3075
Mashrafe Mortaza,2,2,,100,290.46
S Randiv,2,4,2,50,37.336
RG More,2,2,,100,10
A Singh,2,10,0.5,20,44.3365
H Das,2,5,2,40,20
SE Bond,1,2,1,50,342.975
Shoaib Ahmed,1,6,0.5,16.66667,20
Mustafizur Rahman,1,3,1,33.33333,220
LH Ferguson,1,1,,100,140.01
H Gurney,1,5,,20,75
BE Hendricks,1,3,1,33.33333,180
P Parameswaran,1,2,,50,30
M Wood,1,3,1,33.33333,150
NJ Rimmington,1,1,,100,9.334
M de Lange,1,2,1,50,513.37
K Ahmed,0,1,0,0,20
YA Abdulla,0,1,,0,22.865
U Kaul,0,1,,0,45
P Raj,0,1,,0,20
S Lamichhane,0,1,0,0,20
IC Pandey,0,2,0,0,150
J Denly,0,1,0,0,100
S Ladda,0,9,0,0,10
V Pratap Singh,0,1,0,0,40
S Kaushik,0,1,0,0,10
